Audience View,Date,Aggregation,Audience Size
Your total audience,2026-09-20,Monthly,182000

Interests
Category,Bulk Sheet Category,Percent of audience,Affinity,Interest,Bulk Sheet Interests,Percent of audience,Affinity
Finance,"{'name': 'Finance', 'id': '913207199297'}",0.247,4.907,Real Estate,"{'name': 'Real Estate', 'id': '961375696718'}",0.025,0.735
Men's Fashion,"{'name': ""Men's Fashion"", 'id': '924581335376'}",0.184,0.922,Men's Style,"{'name': ""Men's Style"", 'id': '903212673711'}",0.187,0.483
Men's Fashion,"{'name': ""Men's Fashion"", 'id': '924581335376'}",0.184,0.922,Men's Shirts and Top,"{'name': ""Men's Shirts and Top"", 'id': '912569390244'}",0.173,0.94
Men's Fashion,"{'name': ""Men's Fashion"", 'id': '924581335376'}",0.184,0.922,Men's Outfit by Occasions,"{'name': ""Men's Outfit by Occasions"", 'id': '954653184301'}",0.059,0.343
Men's Fashion,"{'name': ""Men's Fashion"", 'id': '924581335376'}",0.184,0.922,Men's Shoes,"{'name': ""Men's Shoes"", 'id': '925332366872'}",0.013,0.307
Men's Fashion,"{'name': ""Men's Fashion"", 'id': '924581335376'}",0.184,0.922,Men's Accessories,"{'name': ""Men's Accessories"", 'id': '958492379934'}",0.012,0.341
Children's Fashion,"{'name': ""Children's Fashion"", 'id': '903733943146'}",0.116,2.367,Teen Clothing,"{'name': 'Teen Clothing', 'id': '930262486893'}",0.424,1.354
Children's Fashion,"{'name': ""Children's Fashion"", 'id': '903733943146'}",0.116,2.367,Children Clothing,"{'name': 'Children Clothing', 'id': '956070689933'}",0.087,0.275
Children's Fashion,"{'name': ""Children's Fashion"", 'id': '903733943146'}",0.116,2.367,Baby Clothing,"{'name': 'Baby Clothing', 'id': '896035134714'}",0.044,0.377

Countries,Percent of audience
Other,0.277
United States,0.276
Canada,0.118
United Kingdom,0.104
India,0.094
Australia,0.047
South Africa,0.043
Germany,0.018
Brazil,0.011
New Zealand,0.011

Metros,Percent of audience
New York,0.052
Los Angeles,0.04
Atlanta,0.028
Dallas-Ft. Worth,0.026
Chicago,0.024
"Washington, DC (Hagrstwn)",0.024
Philadelphia,0.021
Seattle-Tacoma,0.02
Houston,0.019
Phoenix (Prescott),0.019

Gender,Percent of audience
Female,0.872
Unspecified & custom,0.072
Male,0.056

Device,Percent of audience
iPhone,0.481
Android Mobile,0.429
Web,0.251
iPad,0.124
Mobile Web,0.066
Android Tablet,0.05

Age,Percent of audience
25-34,0.276
35-44,0.256
18-24,0.226
45-49,0.07
50-54,0.035
55-64,0.031
65+,0.012

