Audience View,Date,Aggregation,Audience Size
Your total audience,2026-09-04,Monthly,199000

Interests
Category,Bulk Sheet Category,Percent of audience,Affinity,Interest,Bulk Sheet Interests,Percent of audience,Affinity
Children's Fashion,"{'name': ""Children's Fashion"", 'id': '903733943146'}",0.12,2.427,Children Clothing,"{'name': 'Children Clothing', 'id': '956070689933'}",0.087,0.275
Children's Fashion,"{'name': ""Children's Fashion"", 'id': '903733943146'}",0.12,2.427,Baby Clothing,"{'name': 'Baby Clothing', 'id': '896035134714'}",0.044,0.377

Countries,Percent of audience
Other,0.302
United States,0.238
Canada,0.11
India,0.104
United Kingdom,0.103
South Africa,0.057
Australia,0.046
Germany,0.017
France,0.012
Brazil,0.012

Metros,Percent of audience
New York,0.058
Los Angeles,0.042
Atlanta,0.028
"Washington, DC (Hagrstwn)",0.026
Dallas-Ft. Worth,0.025
Chicago,0.024
Philadelphia,0.023
Seattle-Tacoma,0.019
Houston,0.019
Phoenix (Prescott),0.016

Gender,Percent of audience
Female,0.875
Unspecified & custom,0.068
Male,0.057

Device,Percent of audience
iPhone,0.471
Android Mobile,0.441
Web,0.242
iPad,0.125
Mobile Web,0.066
Android Tablet,0.053

Age,Percent of audience
25-34,0.28
35-44,0.249
18-24,0.234
45-49,0.064
50-54,0.032
55-64,0.029
65+,0.011

